X,unigram,unifreq,prob
1,the,401511,0.000592627654273183
2,to,344157,0.000507973519060987
3,i,304375,0.000449255542860345
4,a,294713,0.000434994492987272
5,and,272095,0.000401610470421637
6,of,229727,0.000339075574849047
7,in,215690,0.000318357053107344
8,you,196613,0.000290199523772981
9,for,186815,0.000275737738774392
10,it,182121,0.000268809424956941
11,is,181478,0.000267860361091449
12,that,163442,0.000241239341063427
13,on,143508,0.000211816885239597
14,my,128572,0.00018977144527849
15,with,116454,0.000171885355197564
16,this,106735,0.000157540173691003
17,be,102795,0.000151724759025312
18,have,99127,0.000146310814610653
19,at,97343,0.000143677642081822
20,but,90354,0.000133361923021285
21,are,89259,0.000131745710062165
22,me,87265,0.00012880257888364
23,so,87202,0.000128709591288732
24,was,84643,0.000124932523743173
25,we,78811,0.000116324529243094
26,not,78164,0.000115369561403322
27,all,73780,0.000108898805592563
28,just,71466,0.000105483356471647
29,your,67390,9.94672066804392e-05
30,can,66744,9.8513714834237e-05
31,as,65426,9.65683553090134e-05
32,what,64972,9.58982542282459e-05
33,from,63465,9.36739319182976e-05
34,out,63316,9.34540088763717e-05
35,up,63035,9.30392546832094e-05
36,like,60979,9.00046119033462e-05
37,if,58977,8.70496727762615e-05
38,one,57212,8.44445441252602e-05
39,about,55932,8.25552723556956e-05
40,or,54486,8.04209856535155e-05
41,will,54452,8.03708018721364e-05
42,do,53259,7.86099415431594e-05
43,they,52788,7.79147485717024e-05
44,when,51702,7.63118195547124e-05
45,get,51700,7.63088675675724e-05
46,an,49825,7.35413796238742e-05
47,by,49511,7.30779176429029e-05
48,there,46775,6.90395992354584e-05
49,time,46682,6.8902331833451e-05
50,he,46068,6.79960717814879e-05
51,more,42959,6.34072077724438e-05
52,good,42848,6.32433724861769e-05
53,now,41830,6.1740811031945e-05
54,love,41348,6.10293821312183e-05
55,some,41009,6.05290203109976e-05
56,who,40870,6.03238572047715e-05
57,no,40790,6.02057777191737e-05
58,how,40515,5.97998794874313e-05
59,day,39956,5.89747990818167e-05
60,know,38722,5.71534230164708e-05
61,has,38647,5.70427234987229e-05
62,had,37988,5.60700437361111e-05
63,our,35992,5.31239605704462e-05
64,would,35846,5.29084655092302e-05
65,new,35182,5.19284057787685e-05
66,see,33723,4.97749311601788e-05
67,been,33674,4.97026074752502e-05
68,go,33168,4.89557547288441e-05
69,his,32518,4.79963589083621e-05
70,back,31278,4.61661268815963e-05
71,great,30679,4.52820067331829e-05
72,people,30517,4.50428957748474e-05
73,them,30065,4.43757466812198e-05
74,don,29832,4.40318401794163e-05
75,their,29709,4.38502929703096e-05
76,today,29664,4.37838732596609e-05
