fourgram,fourfreq,predictor,fivefreq,prob
at_the_end_of,945,the,562,0.594708994708995
in_the_middle_of,638,the,288,0.45141065830721
thank_you_so_much,664,for,241,0.362951807228916
for_the_first_time,884,in,234,0.264705882352941
thanks_for_the_shout,245,out,215,0.877551020408163
let_me_know_if,335,you,206,0.614925373134328
is_going_to_be,863,a,202,0.234067207415991
the_end_of_the,1190,day,196,0.164705882352941
for_the_rest_of,376,the,182,0.484042553191489
by_the_end_of,288,the,172,0.597222222222222
can't_wait_to_see,699,you,170,0.243204577968526
thank_you_for_the,806,follow,161,0.199751861042184
hope_you_have_a,316,great,154,0.487341772151899
there_are_a_lot,159,of,148,0.930817610062893
keep_up_the_good,155,work,143,0.92258064516129
it's_going_to_be,319,a,141,0.442006269592476
thanks_so_much_for,357,the,138,0.38655462184874
this_is_going_to,188,be,134,0.712765957446809
is_one_of_the,617,most,133,0.215559157212318
the_other_side_of,184,the,133,0.722826086956522
to_be_a_part,132,of,127,0.962121212121212
on_the_other_side,221,of,119,0.538461538461538
for_those_of_you,204,who,112,0.549019607843137
for_a_chance_to,136,win,111,0.816176470588235
and_the_rest_of,153,the,105,0.686274509803922
incorporated_in_item_above,121,pp,104,0.859504132231405
thank_you_for_the,806,rt,104,0.129032258064516
the_middle_of_the,349,night,103,0.29512893982808
the_rest_of_the,1060,day,103,0.0971698113207547
at_the_top_of,236,the,102,0.432203389830509
let_us_know_if,163,you,97,0.595092024539877
can't_wait_to_see,699,the,96,0.137339055793991
hope_to_see_you,395,there,96,0.243037974683544
happy_mother's_day_to,151,all,95,0.629139072847682
if_you_would_like,136,to,94,0.691176470588235
in_the_middle_of,638,a,94,0.147335423197492
happy_mothers_day_to,169,all,92,0.544378698224852
looking_forward_to_seeing,236,you,91,0.385593220338983
that_awkward_moment_when,230,you,91,0.395652173913043
to_figure_out_how,121,to,91,0.752066115702479
let_me_know_what,141,you,88,0.624113475177305
what_do_you_think,399,of,87,0.218045112781955
can't_wait_to_see,699,what,86,0.123032904148784
is_one_of_my,231,favorite,86,0.372294372294372
thanks_for_the_heads,86,up,85,0.988372093023256
i_love_you_so,99,much,84,0.848484848484848
if_you_have_any,199,questions,84,0.422110552763819
is_it_just_me,110,or,84,0.763636363636364
to_be_one_of,149,the,84,0.563758389261745
has_nothing_to_do,88,with,83,0.943181818181818
hope_you_had_a,183,great,83,0.453551912568306
is_one_of_the,617,best,83,0.13452188006483
you_so_much_for,243,the,83,0.34156378600823
at_the_bottom_of,138,the,82,0.594202898550725
be_sure_to_check,132,out,82,0.621212121212121
the_end_of_the,1190,month,82,0.0689075630252101
it_is_going_to,107,be,81,0.757009345794393
a_couple_of_weeks,167,ago,79,0.473053892215569
it_was_going_to,106,be,79,0.745283018867925
the_end_of_the,1190,world,78,0.065546218487395
the_rest_of_the,1060,world,78,0.0735849056603774
going_to_be_a,640,great,77,0.1203125
you_have_a_great,207,day,77,0.371980676328502
this_is_one_of,170,the,76,0.447058823529412
all_you_have_to,86,do,75,0.872093023255814
at_the_beginning_of,157,the,75,0.477707006369427
hope_you_all_have,90,a,75,0.833333333333333
on_the_side_of,123,the,75,0.609756097560976
look_forward_to_seeing,134,you,74,0.552238805970149
the_end_of_the,1190,year,74,0.0621848739495798
thank_you_to_everyone,102,who,73,0.715686274509804
you_have_to_do,156,is,73,0.467948717948718
take_a_look_at,191,the,72,0.37696335078534
to_get_out_of,247,the,72,0.291497975708502
keep_up_the_great,76,work,69,0.907894736842105
let_us_know_what,93,you,67,0.720430107526882
every_once_in_a,70,while,66,0.942857142857143
there_is_a_lot,104,of,66,0.634615384615385
me_know_what_you,90,think,65,0.722222222222222
to_find_a_way,79,to,65,0.822784810126582
i_can't_wait_to,180,see,64,0.355555555555556
mothers_day_to_all,92,the,64,0.695652173913044
going_to_be_a,640,good,63,0.0984375
the_rest_of_my,160,life,63,0.39375
this_is_the_first,165,time,63,0.381818181818182
to_everyone_who_came,86,out,63,0.732558139534884
but_at_the_same,62,time,62,1
finished_a_mi_run,62,with,62,1
i'm_going_to_have,89,to,62,0.696629213483146
just_finished_a_mi,62,run,62,1
the_end_of_the,1190,week,62,0.0521008403361345
thanks_for_the_follow,1553,and,61,0.0392788151963941
thanks_to_everyone_who,153,came,60,0.392156862745098
to_the_top_of,98,the,60,0.612244897959184
in_the_form_of,165,a,59,0.357575757575758
on_my_way_to,355,the,59,0.166197183098592
we_had_a_great,102,time,59,0.57843137254902
had_a_great_time,328,at,58,0.176829268292683
i'm_not_the_only,70,one,58,0.828571428571429
thank_you_for_your,275,support,58,0.210909090909091
with_the_rest_of,84,the,58,0.690476190476191
a_couple_of_years,119,ago,57,0.478991596638655
there_is_no_such,60,thing,57,0.95
can_you_please_follow,66,me,56,0.848484848484848
don't_know_what_to,97,do,56,0.577319587628866
hope_everyone_is_having,61,a,56,0.918032786885246
hope_to_see_you,395,at,56,0.141772151898734
keep_an_eye_out,83,for,56,0.674698795180723
let_me_know_when,129,you,56,0.434108527131783
thanks_for_the_kind,73,words,56,0.767123287671233
the_rest_of_the,1060,week,56,0.0528301886792453
a_means_for_sites,55,to,55,1
a_participant_in_the,57,amazon,55,0.964912280701754
advertising_and_linking_to,55,amazon.com,55,1
advertising_fees_by_advertising,55,and,55,1
amazon.ca_amazon.co.uk_amazon.de_amazon.fr,55,amazon.it,55,1
amazon.co.uk_amazon.de_amazon.fr_amazon.it,55,and,55,1
amazon.com_amazon.ca_amazon.co.uk_amazon.de,55,amazon.fr,55,1
amazon.de_amazon.fr_amazon.it_and,55,amazon.es,55,1
amazon_eu_associates_programmes,55,designed,55,1
amazon_services_llc_and,110,amazon,55,0.5
amazon_services_llc_and,110,or,55,0.5
and_amazon_eu_associates,55,programmes,55,1
and_is_subject_to,55,change,55,1
and_linking_to_amazon.com,55,amazon.ca,55,1
appears_on_this_website,55,comes,55,1
as_is_and_is,55,subject,55,1
associates_programmes_designed_to,55,provide,55,1
by_advertising_and_linking,55,to,55,1
certain_content_that_appears,55,on,55,1
change_or_removal_at,55,any,55,1
comes_from_amazon_services,55,llc,55,1
content_is_provided_as,55,is,55,1
content_that_appears_on,55,this,55,1
designed_to_provide_a,55,means,55,1
earn_advertising_fees_by,55,advertising,55,1
eu_associates_programmes_designed,55,to,55,1
fees_by_advertising_and,55,linking,55,1
for_sites_to_earn,55,advertising,55,1
from_amazon_services_llc,55,and,55,1
in_the_amazon_services,55,llc,55,1
is_a_participant_in,56,the,55,0.982142857142857
is_and_is_subject,55,to,55,1
is_provided_as_is,55,and,55,1
is_subject_to_change,57,or,55,0.964912280701754
linking_to_amazon.com_amazon.ca,55,amazon.co.uk,55,1
llc_and_amazon_eu,55,associates,55,1
llc_and_or_amazon,55,eu,55,1
means_for_sites_to,55,earn,55,1
on_this_website_comes,55,from,55,1
or_removal_at_any,55,time,55,1
participant_in_the_amazon,55,services,55,1
programmes_designed_to_provide,55,a,55,1
provide_a_means_for,55,sites,55,1
provided_as_is_and,55,is,55,1
services_llc_and_amazon,55,eu,55,1
services_llc_and_or,55,amazon,55,1
sites_to_earn_advertising,55,fees,55,1
subject_to_change_or,55,removal,55,1
thank_you_for_the,806,mention,55,0.0682382133995037
that_appears_on_this,55,website,55,1
the_amazon_services_llc,55,and,55,1
this_content_is_provided,55,as,55,1
this_website_comes_from,55,amazon,55,1
to_amazon.com_amazon.ca_amazon.co.uk,55,amazon.de,55,1
to_change_or_removal,55,at,55,1
to_earn_advertising_fees,55,by,55,1
to_provide_a_means,55,for,55,1
turned_out_to_be,158,a,55,0.348101265822785
us_know_what_you,68,think,55,0.808823529411765
website_comes_from_amazon,55,services,55,1
an_hour_and_a,55,half,54,0.981818181818182
hope_you_are_having,58,a,54,0.931034482758621
if_you_want_to,626,be,54,0.0862619808306709
for_the_rest_of,376,my,53,0.140957446808511
hope_you_all_had,59,a,53,0.898305084745763
in_the_back_of,140,the,53,0.378571428571429
is_no_such_thing,60,as,53,0.883333333333333
was_going_to_be,248,a,53,0.213709677419355
what_do_you_think,399,about,53,0.132832080200501
will_never_be_the,60,same,53,0.883333333333333
at_the_end_of,945,this,52,0.055026455026455
is_a_great_way,58,to,52,0.896551724137931
looking_forward_to_your,127,tweets,52,0.409448818897638
mean_the_world_to,60,me,52,0.866666666666667
trying_to_figure_out,202,how,52,0.257425742574257
and_at_the_same,55,time,51,0.927272727272727
as_a_result_of,186,the,51,0.274193548387097
for_the_first_time,884,since,51,0.0576923076923077
is_going_to_be,863,the,51,0.0590961761297798
it_is_what_it,53,is,51,0.962264150943396
it_was_one_of,92,the,51,0.554347826086957
know_what_to_do,177,with,51,0.288135593220339
to_the_end_of,113,the,51,0.451327433628319
when_it_comes_to,602,the,51,0.0847176079734219
a_chance_to_win,151,a,50,0.33112582781457
can't_wait_to_see,699,it,50,0.0715307582260372
had_a_lot_of,144,fun,50,0.347222222222222
we_hope_to_see,55,you,50,0.909090909090909
mother's_day_to_all,95,the,49,0.515789473684211
thank_you_for_all,135,the,49,0.362962962962963
the_side_of_the,167,road,49,0.293413173652695
all_the_way_to,115,the,48,0.417391304347826
